name,title,table,segment,time,space,grain,start_line,end_line,comment_lines,header_lines,description,url,ref,filetype
droupouts92,,droupouts,,1991/1992,,,,,,,Dropouts by Race & Gender 1991–92,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1991-92&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts93,,droupouts,,1992/1993,,,,,,,Dropouts by Race & Gender 1992–93,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1992-93&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts94,,droupouts,,1993/1994,,,,,,,Dropouts by Race & Gender 1993–94,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1993-94&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts95,,droupouts,,1994/1995,,,,,,,Dropouts by Race & Gender 1994–95,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1994-95&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts96,,droupouts,,1995/1996,,,,,,,Dropouts by Race & Gender 1995–96,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1995-96&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts97,,droupouts,,1996/1997,,,,,,,Dropouts by Race & Gender 1996–97,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1996-97&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts98,,droupouts,,1997/1998,,,,,,,Dropouts by Race & Gender 1997–98,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1997-98&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts99,,droupouts,,1998/1999,,,,,,,Dropouts by Race & Gender 1998–99,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1998-99&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts00,,droupouts,,1999/2000,,,,,,,Dropouts by Race & Gender 1999–2000,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=1999-00&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts01,,droupouts,,2000/2001,,,,,,,Dropouts by Race & Gender 2000–2001,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2000-01&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts02,,droupouts,,2001/2002,,,,,,,Dropouts by Race & Gender 2001–2002,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2001-02&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts03,,droupouts,,2002/2003,,,,,,,Dropouts by Race & Gender 2002–2003,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2002-03&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts04,,droupouts,,2003/2004,,,,,,,Dropouts by Race & Gender 2003–2004,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2003-04&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts05,,droupouts,,2004/2005,,,,,,,Dropouts by Race & Gender 2004–2005,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2004-05&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts06,,droupouts,,2005/2006,,,,,,,Dropouts by Race & Gender 2005–2006,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2005-06&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts07,,droupouts,,2006/2007,,,,,,,Dropouts by Race & Gender 2006–2007,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2006-07&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts08,,droupouts,,2007/2008,,,,,,,Dropouts by Race & Gender 2007–2008,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2007-08&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts09,,droupouts,,2008/2009,,,,,,,Dropouts by Race & Gender 2008–2009,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2008-09&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts10,,droupouts,,2009/2010,,,,,,,Dropouts by Race & Gender 2009–2010,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2009-10&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts11,,droupouts,,2010/2011,,,,,,,Dropouts by Race & Gender 2010–2011,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2010-11&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts12,,droupouts,,2011/2012,,,,,,,Dropouts by Race & Gender 2011–2012,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2011-12&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts13,,droupouts,,2012/2013,,,,,,,Dropouts by Race & Gender 2012–2013,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2012-13&cCat=Dropouts&cPage=filesdropouts,,tsv
droupouts14,,droupouts,,2013/2014,,,,,,,Dropouts by Race & Gender 2013–2014,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=School&cYear=2013-14&cCat=Dropouts&cPage=filesdropouts,,tsv
