name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
Level,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SubGrp,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
RptType,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
line_num,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Ccode,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Dcode,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
charternum,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Scode,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
cds_code,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Gr05_Stu,6,<type 'int'>,True,5001,4924,0,77,0,0,0,0,*
Gr5PctIn,5,<type 'float'>,True,5001,1291,3529,181,0,0,0,0,*
Gr5PctNotIn,5,<type 'float'>,True,5001,2009,2565,170,257,0,0,0,*
Gr07_Stu,6,<type 'int'>,True,5001,4910,0,91,0,0,0,0,*
Gr7PctIn,5,<type 'float'>,True,5001,1267,3511,223,0,0,0,0,*
Gr7PctNotIn,5,<type 'float'>,True,5001,1987,2547,210,257,0,0,0,*
Gr09_Stu,6,<type 'int'>,True,5001,4910,0,91,0,0,0,0,*
Gr9PctIn,5,<type 'float'>,True,5001,1222,3561,218,0,0,0,0,*
Gr9PctNotIn,5,<type 'float'>,True,5001,1988,2551,205,257,0,0,0,*
