SubGrp,RptType,LineNum,ReportType,SubGroup,line_text
0,1,1,Physical Fitness Areas,All Students,Aerobic Capacity
0,1,2,Physical Fitness Areas,All Students,Body Composition
0,1,3,Physical Fitness Areas,All Students,Abdominal Strength
0,1,4,Physical Fitness Areas,All Students,Trunk Extension Strength
0,1,5,Physical Fitness Areas,All Students,Upper Body Strength
0,1,6,Physical Fitness Areas,All Students,Flexibility
0,2,1,Meeting Healthy Fitness Zone,All Students,6 of 6 fitness standards
0,2,2,Meeting Healthy Fitness Zone,All Students,5 of 6 fitness standards
0,2,3,Meeting Healthy Fitness Zone,All Students,4 of 6 fitness standards
0,2,4,Meeting Healthy Fitness Zone,All Students,3 of 6 fitness standards
0,2,5,Meeting Healthy Fitness Zone,All Students,2 of 6 fitness standards
0,2,6,Meeting Healthy Fitness Zone,All Students,1 of 6 fitness standards
0,2,7,Meeting Healthy Fitness Zone,All Students,0 of 6 fitness standards
0,2,8,Meeting Healthy Fitness Zone,All Students,Total tested
1,3,1,Gender And Ethnic Summary,Gender,Females
1,3,2,Gender And Ethnic Summary,Gender,Males
1,3,3,Gender And Ethnic Summary,Gender,No Gender Information
2,1,1,Physical Fitness Areas,Female,Aerobic Capacity
2,1,2,Physical Fitness Areas,Female,Body Composition
2,1,3,Physical Fitness Areas,Female,Abdominal Strength
2,1,4,Physical Fitness Areas,Female,Trunk Extension Strength
2,1,5,Physical Fitness Areas,Female,Upper Body Strength
2,1,6,Physical Fitness Areas,Female,Flexibility
2,2,1,Meeting Healthy Fitness Zone,Female,6 of 6 fitness standards
2,2,2,Meeting Healthy Fitness Zone,Female,5 of 6 fitness standards
2,2,3,Meeting Healthy Fitness Zone,Female,4 of 6 fitness standards
2,2,4,Meeting Healthy Fitness Zone,Female,3 of 6 fitness standards
2,2,5,Meeting Healthy Fitness Zone,Female,2 of 6 fitness standards
2,2,6,Meeting Healthy Fitness Zone,Female,1 of 6 fitness standards
2,2,7,Meeting Healthy Fitness Zone,Female,0 of 6 fitness standards
2,2,8,Meeting Healthy Fitness Zone,Female,Total tested
3,1,1,Physical Fitness Areas,Male,Aerobic Capacity
3,1,2,Physical Fitness Areas,Male,Body Composition
3,1,3,Physical Fitness Areas,Male,Abdominal Strength
3,1,4,Physical Fitness Areas,Male,Trunk Extension Strength
3,1,5,Physical Fitness Areas,Male,Upper Body Strength
3,1,6,Physical Fitness Areas,Male,Flexibility
3,2,1,Meeting Healthy Fitness Zone,Male,6 of 6 fitness standards
3,2,2,Meeting Healthy Fitness Zone,Male,5 of 6 fitness standards
3,2,3,Meeting Healthy Fitness Zone,Male,4 of 6 fitness standards
3,2,4,Meeting Healthy Fitness Zone,Male,3 of 6 fitness standards
3,2,5,Meeting Healthy Fitness Zone,Male,2 of 6 fitness standards
3,2,6,Meeting Healthy Fitness Zone,Male,1 of 6 fitness standards
3,2,7,Meeting Healthy Fitness Zone,Male,0 of 6 fitness standards
3,2,8,Meeting Healthy Fitness Zone,Male,Total tested
4,3,1,Gender And Ethnic Summary,Ethnicity,American Indian/Alaskan Native
4,3,2,Gender And Ethnic Summary,Ethnicity,Chinese
4,3,3,Gender And Ethnic Summary,Ethnicity,Japanese
4,3,4,Gender And Ethnic Summary,Ethnicity,Korean
4,3,5,Gender And Ethnic Summary,Ethnicity,Vietnamese
4,3,6,Gender And Ethnic Summary,Ethnicity,Asian Indian
4,3,7,Gender And Ethnic Summary,Ethnicity,Laotian
4,3,8,Gender And Ethnic Summary,Ethnicity,Cambodian
4,3,9,Gender And Ethnic Summary,Ethnicity,Other Asian
4,3,10,Gender And Ethnic Summary,Ethnicity,Native Hawaiian
4,3,11,Gender And Ethnic Summary,Ethnicity,Guamanian
4,3,12,Gender And Ethnic Summary,Ethnicity,Samoan
4,3,13,Gender And Ethnic Summary,Ethnicity,Tahitian
4,3,14,Gender And Ethnic Summary,Ethnicity,Other Pacific Islander
4,3,15,Gender And Ethnic Summary,Ethnicity,Filipino/Filipino American
4,3,16,Gender And Ethnic Summary,Ethnicity,Hispanic/Latino
4,3,17,Gender And Ethnic Summary,Ethnicity,African American(not Hispanic)
4,3,18,Gender And Ethnic Summary,Ethnicity,White - Not of Hispanic Origin
4,3,19,Gender And Ethnic Summary,Ethnicity,Declined to State
4,3,20,Gender And Ethnic Summary,Ethnicity,Asian                         
4,3,21,Gender And Ethnic Summary,Ethnicity,Native Hawaiian or Pacific Isl
5,1,1,Physical Fitness Areas,American Indian,Aerobic Capacity
5,1,2,Physical Fitness Areas,American Indian,Body Composition
5,1,3,Physical Fitness Areas,American Indian,Abdominal Strength
5,1,4,Physical Fitness Areas,American Indian,Trunk Extension Strength
5,1,5,Physical Fitness Areas,American Indian,Upper Body Strength
5,1,6,Physical Fitness Areas,American Indian,Flexibility
5,2,1,Meeting Healthy Fitness Zone,American Indian,6 of 6 fitness standards
5,2,2,Meeting Healthy Fitness Zone,American Indian,5 of 6 fitness standards
5,2,3,Meeting Healthy Fitness Zone,American Indian,4 of 6 fitness standards
5,2,4,Meeting Healthy Fitness Zone,American Indian,3 of 6 fitness standards
5,2,5,Meeting Healthy Fitness Zone,American Indian,2 of 6 fitness standards
5,2,6,Meeting Healthy Fitness Zone,American Indian,1 of 6 fitness standards
5,2,7,Meeting Healthy Fitness Zone,American Indian,0 of 6 fitness standards
5,2,8,Meeting Healthy Fitness Zone,American Indian,Total tested
6,1,1,Physical Fitness Areas,Chinese,Aerobic Capacity
6,1,2,Physical Fitness Areas,Chinese,Body Composition
6,1,3,Physical Fitness Areas,Chinese,Abdominal Strength
6,1,4,Physical Fitness Areas,Chinese,Trunk Extension Strength
6,1,5,Physical Fitness Areas,Chinese,Upper Body Strength
6,1,6,Physical Fitness Areas,Chinese,Flexibility
6,2,1,Meeting Healthy Fitness Zone,Chinese,6 of 6 fitness standards
6,2,2,Meeting Healthy Fitness Zone,Chinese,5 of 6 fitness standards
6,2,3,Meeting Healthy Fitness Zone,Chinese,4 of 6 fitness standards
6,2,4,Meeting Healthy Fitness Zone,Chinese,3 of 6 fitness standards
6,2,5,Meeting Healthy Fitness Zone,Chinese,2 of 6 fitness standards
6,2,6,Meeting Healthy Fitness Zone,Chinese,1 of 6 fitness standards
6,2,7,Meeting Healthy Fitness Zone,Chinese,0 of 6 fitness standards
6,2,8,Meeting Healthy Fitness Zone,Chinese,Total tested
7,1,1,Physical Fitness Areas,Japanese,Aerobic Capacity
7,1,2,Physical Fitness Areas,Japanese,Body Composition
7,1,3,Physical Fitness Areas,Japanese,Abdominal Strength
7,1,4,Physical Fitness Areas,Japanese,Trunk Extension Strength
7,1,5,Physical Fitness Areas,Japanese,Upper Body Strength
7,1,6,Physical Fitness Areas,Japanese,Flexibility
